name	l:label	uid	type	obtainable	command	label	entity:string_array
l26.  shrimp and chicken with garlic sauce lunch special	Item,Obtainable,l26.  shrimp and chicken with garlic sauce lunch special	N919	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l26.  shrimp and chicken with garlic sauce lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l26.  shrimp and chicken with garlic sauce lunch special	
	Token,~NoTag		token			l26	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,DBPedia>Conjunction_(grammar)		token			and	DBPedia>Conjunction_(grammar)
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Garlic		token			garlic	DBPedia>Garlic
	Token,DBPedia>Sauce		token			sauce	DBPedia>Sauce
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>NewInstructionOfNouns	NewInstructionOfNouns	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l27.  shrimp and beef with broccoli lunch special	Item,Obtainable,l27.  shrimp and beef with broccoli lunch special	N920	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l27.  shrimp and beef with broccoli lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l27.  shrimp and beef with broccoli lunch special	
	Token,~NoTag		token			l27	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,DBPedia>Conjunction_(grammar)		token			and	DBPedia>Conjunction_(grammar)
	Token,DBPedia>Beef		token			beef	DBPedia>Beef
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Broccoli		token			broccoli	DBPedia>Broccoli
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>NewInstructionOfNouns	NewInstructionOfNouns	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l28.  shrimp and chicken black bean sauce lunch special	Item,Obtainable,l28.  shrimp and chicken black bean sauce lunch special	N921	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l28.  shrimp and chicken black bean sauce lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l28.  shrimp and chicken black bean sauce lunch special	
	Token,~NoTag		token			l28	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
